nb_step	phi=0.2	phi=0.7
486.0	0.13	0.22
487.0	0.13	0.22
488.0	0.14	0.22
489.0	0.14	0.22
490.0	0.14	0.22
491.0	0.14	0.22
492.0	0.14	0.22
493.0	0.14	0.22
494.0	0.14	0.22
495.0	0.14	0.22
496.0	0.14	0.22
497.0	0.14	0.22
498.0	0.14	0.22
499.0	0.14	0.22
500.0	0.14	0.22
501.0	0.14	0.22
502.0	0.14	0.22
503.0	0.14	0.22
504.0	0.14	0.22
505.0	0.14	0.22
506.0	0.14	0.22
507.0	0.14	0.22
508.0	0.14	0.22
509.0	0.14	0.22
510.0	0.14	0.22
511.0	0.14	0.21
512.0	0.14	0.21
513.0	0.14	0.21
514.0	0.14	0.21
515.0	0.14	0.21
516.0	0.14	0.21
517.0	0.14	0.21
518.0	0.14	0.21
519.0	0.14	0.21
520.0	0.14	0.21
521.0	0.14	0.21
522.0	0.14	0.21
523.0	0.13	0.21
524.0	0.13	0.21
525.0	0.13	0.21
526.0	0.13	0.21
527.0	0.13	0.21
528.0	0.13	0.21
529.0	0.13	0.21
530.0	0.14	0.21
531.0	0.14	0.21
532.0	0.14	0.21
533.0	0.14	0.21
534.0	0.14	0.21
535.0	0.14	0.21
536.0	0.14	0.21
537.0	0.14	0.21
538.0	0.14	0.21
539.0	0.14	0.2
540.0	0.14	0.2
541.0	0.14	0.2
542.0	0.14	0.2
543.0	0.14	0.2
544.0	0.14	0.2
545.0	0.14	0.2
546.0	0.15	0.2
547.0	0.15	0.2
548.0	0.15	0.2
549.0	0.15	0.2
550.0	0.15	0.2
551.0	0.15	0.2
552.0	0.15	0.2
553.0	0.15	0.2
554.0	0.15	0.2
555.0	0.15	0.2
556.0	0.15	0.2
557.0	0.15	0.2
558.0	0.15	0.2
559.0	0.15	0.19
560.0	0.15	0.19
561.0	0.15	0.19
562.0	0.15	0.19
563.0	0.15	0.19
564.0	0.15	0.19
565.0	0.16	0.19
566.0	0.16	0.2
567.0	0.16	0.2
568.0	0.16	0.2
569.0	0.16	0.2
570.0	0.16	0.19
571.0	0.16	0.19
572.0	0.16	0.19
573.0	0.16	0.19
574.0	0.16	0.19
575.0	0.16	0.19
576.0	0.16	0.19
577.0	0.16	0.19
578.0	0.16	0.19
579.0	0.16	0.19
580.0	0.16	0.19
581.0	0.16	0.19
582.0	0.16	0.18
583.0	0.15	0.18
584.0	0.15	0.19
585.0	0.15	0.19
586.0	0.15	0.19
587.0	0.15	0.19
588.0	0.15	0.19
589.0	0.15	0.19
590.0	0.15	0.19
591.0	0.16	0.19
592.0	0.16	0.19
593.0	0.16	0.19
594.0	0.16	0.2
595.0	0.16	0.2
596.0	0.16	0.2
597.0	0.16	0.2
598.0	0.16	0.2
599.0	0.16	0.2
600.0	0.16	0.2
601.0	0.16	0.2
602.0	0.16	0.2
603.0	0.16	0.2
604.0	0.16	0.2
605.0	0.16	0.2
606.0	0.16	0.2
607.0	0.16	0.2
608.0	0.16	0.19
609.0	0.16	0.19
610.0	0.16	0.19
611.0	0.16	0.19
612.0	0.16	0.19
613.0	0.16	0.19
614.0	0.16	0.19
615.0	0.16	0.19
616.0	0.16	0.19
617.0	0.16	0.19
618.0	0.16	0.19
619.0	0.16	0.19
620.0	0.16	0.19
621.0	0.16	0.19
622.0	0.16	0.19
623.0	0.16	0.19
624.0	0.16	0.19
625.0	0.16	0.19
626.0	0.16	0.19
627.0	0.16	0.18
628.0	0.16	0.18
629.0	0.16	0.18
630.0	0.16	0.18
631.0	0.16	0.18
632.0	0.16	0.18
633.0	0.16	0.18
634.0	0.16	0.18
635.0	0.16	0.18
636.0	0.16	0.18
637.0	0.17	0.18
638.0	0.18	0.18
639.0	0.18	0.18
640.0	0.18	0.18
641.0	0.18	0.18
642.0	0.18	0.18
643.0	0.18	0.18
644.0	0.18	0.18
645.0	0.18	0.18
646.0	0.18	0.18
647.0	0.18	0.18
648.0	0.18	0.18
649.0	0.18	0.18
650.0	0.18	0.18
651.0	0.18	0.18
652.0	0.18	0.18
653.0	0.18	0.18
654.0	0.18	0.18
655.0	0.18	0.18
656.0	0.18	0.19
657.0	0.18	0.19
658.0	0.18	0.19
659.0	0.18	0.19
660.0	0.18	0.19
661.0	0.18	0.19
662.0	0.18	0.19
663.0	0.18	0.19
664.0	0.18	0.19
665.0	0.18	0.19
666.0	0.18	0.19
667.0	0.18	0.19
668.0	0.18	0.19
669.0	0.18	0.19
670.0	0.18	0.19
671.0	0.18	0.19
672.0	0.18	0.19
673.0	0.18	0.19
674.0	0.18	0.19
675.0	0.18	0.19
676.0	0.18	0.19
677.0	0.18	0.19
678.0	0.18	0.19
679.0	0.18	0.19
680.0	0.18	0.19
681.0	0.18	0.19
682.0	0.18	0.19
683.0	0.18	0.19
684.0	0.18	0.2
685.0	0.18	0.2
686.0	0.18	0.2
687.0	0.18	0.2
688.0	0.18	0.2
689.0	0.18	0.2
690.0	0.18	0.2
691.0	0.18	0.2
692.0	0.18	0.2
693.0	0.18	0.2
694.0	0.18	0.2
695.0	0.18	0.2
696.0	0.18	0.2
697.0	0.19	0.2
698.0	0.19	0.21
699.0	0.19	0.21
700.0	0.19	0.2
701.0	0.19	0.2
702.0	0.19	0.2
703.0	0.19	0.2
704.0	0.19	0.2
705.0	0.19	0.2
706.0	0.19	0.2
707.0	0.19	0.2
708.0	0.19	0.2
709.0	0.19	0.2
710.0	0.19	0.2
711.0	0.19	0.2
712.0	0.19	0.2
713.0	0.19	0.2
714.0	0.19	0.21
715.0	0.19	0.21
716.0	0.19	0.21
717.0	0.19	0.21
718.0	0.19	0.21
719.0	0.19	0.21
720.0	0.19	0.21
721.0	0.19	0.21
722.0	0.19	0.21
723.0	0.19	0.21
724.0	0.19	0.21
725.0	0.18	0.21
726.0	0.18	0.21
727.0	0.18	0.21
728.0	0.18	0.21
729.0	0.19	0.2
730.0	0.19	0.2
731.0	0.19	0.2
732.0	0.19	0.2
733.0	0.19	0.2
734.0	0.19	0.2
735.0	0.19	0.2
736.0	0.19	0.2
737.0	0.19	0.2
738.0	0.19	0.2
739.0	0.19	0.2
740.0	0.19	0.2
741.0	0.19	0.2
742.0	0.19	0.19
743.0	0.19	0.19
744.0	0.19	0.19
745.0	0.19	0.18
746.0	0.19	0.18
747.0	0.19	0.18
748.0	0.19	0.18
749.0	0.19	0.18
750.0	0.19	0.17
751.0	0.2	0.17
752.0	0.2	0.17
753.0	0.2	0.17
754.0	0.2	0.17
755.0	0.2	0.16
756.0	0.2	0.16
757.0	0.2	0.16
758.0	0.2	0.16
759.0	0.2	0.16
760.0	0.2	0.16
761.0	0.2	0.16
762.0	0.2	0.16
763.0	0.2	0.16
764.0	0.2	0.16
765.0	0.2	0.16
766.0	0.2	0.16
767.0	0.2	0.16
768.0	0.2	0.16
769.0	0.2	0.16
770.0	0.2	0.16
771.0	0.2	0.16
772.0	0.2	0.15
773.0	0.2	0.15
774.0	0.2	0.15
775.0	0.2	0.15
776.0	0.2	0.16
777.0	0.2	0.16
778.0	0.2	0.16
779.0	0.2	0.16
780.0	0.2	0.16
781.0	0.2	0.16
782.0	0.2	0.16
783.0	0.2	0.16
784.0	0.2	0.16
785.0	0.2	0.16
786.0	0.2	0.16
787.0	0.2	0.16
788.0	0.2	0.16
789.0	0.2	0.16
790.0	0.2	0.16
791.0	0.2	0.16
792.0	0.2	0.16
